"# of Use","Kullanım Sayısı"
"%1$s incl tax.","Vergi Dahil %1$s"
"%s - %s","%s - %s"
"%s Item(s)","%s Ürün(ler)"
"%s and above","%s ve üzeri"
"(%d)","(%d)"
"(Copy data from: %s)","(%s'den bilgi kopyala)"
"* Required Fields","* Zorunlu Alanlar"
"-- Please Select --","-- Lütfen Seçiniz --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend."
"A group with the same name already exists.","Aynı isimde bir grup zaten var."
"A name is required","İsim girmeniz gerekiyor"
"A product type is not defined for the indexer.","Endeksleme için bir ürün tipi belirlenmedi."
"ALL GROUPS","Tüm GRUPLAR"
"AM","AM"
"Action","İşlem"
"Actual Price","Geçerli Fiyat"
"Add","Ekle"
"Add Attribute","Özellik Ekle"
"Add Design Change","Tasarım Değişikliği Ekle"
"Add Group","Grup Ekle"
"Add Group Price","Grup Fiyatı Ekle"
"Add New","Yeni Ekle"
"Add New Attribute","Yeni Özellik Ekle"
"Add New Attribute Set","Yeni Özellik Seti Ekle"
"Add New Group","Yeni Grup Ekle"
"Add New Images","Yeni Resim(ler) Ekle"
"Add New Option","Yeni Seçenek(ler) Ekle"
"Add New Row","Yeni Satır Ekle"
"Add New Search Term","Yeni Arama Kelimesi Ekle"
"Add New Set","Yeni Set Ekle"
"Add Product","Ürün Ekle"
"Add Product To Websites","Ürünü Web Sitelerine Ekle"
"Add Root Category","Ana Kategori Ekle"
"Add Subcategory","Alt Kategori Ekle"
"Add Tax","Vergi Ekle"
"Add Tier","Seviye  Ekle"
"Add attribute into attribute set","Özellik setine özellik ekle"
"Add group into attribute set","Özellik setine grup ekle"
"Add new custom option into product","Ürüne özel seçenek ekle"
"Add new values into custom option","Özel seçeneklere yeni değer(ler) ekle"
"Add option","Seçenek Ekle"
"Add to Cart","Sepete Ekle"
"Add to Compare","Karşılaştır"
"Add to Wishlist","Takip Listesine Ekle"
"Additional Information","Ek Bilgi"
"Alert Urls","Alarm Adresleri"
"All","Hepsi"
"All Product Types","Tüm Ürün Tipleri"
"All Websites","Tüm Siteler"
"All products","Tüm Ürünler"
"All products - recently added products, New products - products marked as new","Tüm Ürünler – Yeni eklenmiş ürünler, Yeni Ürünler – Yeni olarak işaretlenmiş ürünler"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Bu setteki tüm ürünler silinecektir. Bu özellik setini silmek istediğinizden emin misiniz?"
"Allow All Products per Page","Her sayfada 'Tüm Ürünler' bağlantısını göster"
"Allow Dynamic Media URLs in Products and Categories","Ürün ve Kategoriler için dinamik medya URL'lerine izin ver"
"Allow HTML Tags on Frontend","Ön sayfada HTML etiketlerine izin ver"
"Allowed File Extensions","İzin Verilen Dosya Uzantıları"
"Allowed file extensions to upload","Dosya Yüklemede Izin Verilen Dosya Uzantıları"
"Amount","Tutar"
"An error occurred while adding products to websites.","Websitelerine ürünler eklenirken hata oluştu."
"An error occurred while clearing comparison list.","Karşılaştırma listesi temizlenirken hata oluştu."
"An error occurred while deleting this review.","Yorum silinirken hata oluştu."
"An error occurred while removing products from websites.","Web Sitelerinden ürün silerken hata oluştu."
"An error occurred while saving the URL rewrite","Adres Yeniden Yazımı kaydedilirken hata oluştu"
"An error occurred while saving the attribute set.","Özellik seti kaydedilirken hata oluştu."
"An error occurred while saving the collection, aborting. Error message: %s","Koleksiyon kaydedilirken hata oluştu, işleme son veriliyor. Hata mesajı : %s"
"An error occurred while saving the product. ","Ürün kaydedilirken hata oluştu. "
"An error occurred while saving the search query.","Arama kelimesi kaydedilirken hata oluştu."
"An error occurred while saving this group.","Bu grup kaydedilirken hata oluştu."
"An error occurred while saving this review.","Yorum kaydedilirken hata oluştu."
"An error occurred while trying to delete the category.","Kategori silinirken hata oluştu."
"An error occurred while updating the product(s) attributes.","Ürün özellikleri güncellenirken hata oluştu."
"An error occurred while updating the product(s) status.",
"An invalid group ID is specified, skipping the record.",
"An invalid option ID is specified for %s (%s), skipping the record.",
"An invalid store was specified.","Hatalı mağaza seçimi yapıldı."
"Anchor Custom Text","Anchor Custom Text"
"Anchor Custom Title","Anchor Custom Title"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes."
"Apply MAP (Default Value)","Apply MAP (Default Value)"
"Apply To","Uygula"
"Approved","Onaylandı"
"Are you sure you want to delete this category?","Bu kategoriyi silmek istediğinize emin misiniz?"
"Are you sure you would like to remove all products from your comparison?","Tüm ürünleri karşılaştırma listenizden kaldırmak istediğinizden emin misiniz?"
"Are you sure you would like to remove this item from the compare products?","Bu ürünü karşılaştırma listenizden kaldırmak istediğinize emin misiniz?"
"Are you sure?","Emin misiniz?"
"As low as:","En düşük fiyat:"
"Assign","Ata"
"Assign product link","Ürün bağlantısı ata"
"Assign product to category","Ürünü kategoriye ata"
"Assigned Products","Atanmış Ürünler"
"Associated Products","Bağlantılı Ürünler"
"Attrib. Set Name","Özellik Seti Adı"
"Attribute ""%s"" is invalid.","Özellik ""%s"" geçersiz."
"Attribute ""%s"" is required.","Özellik ""%s"" gerekli."
"Attribute Information","Özellik Bilgisi"
"Attribute Model","Özellik Modeli"
"Attribute Name:","Özellik Adı:"
"Attribute Set","Özellik Seti"
"Attribute Sets","Özellik Setleri"
"Attribute add","Özellik Ekle"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Attribute group with the \/name/\"" name already exists""","Attribute group with the \/name/\"" name already exists"""
"Attribute group with the \/name/\ name already exists","Attribute group with the \/name/\ name already exists"
"Attribute remove","Özellik Sil"
"Attribute with the same code already exists","Aynı kodu kullanan bir özellik zaten var"
"Attributes","Özellikler"
"Attrribute names can be specified per store.","Özellik adları her mağaza için ayrı verilebilir."
"Autogenerate","Otomatik Oluştur"
"Availability:","Stok Durumu :"
"Back","Geri"
"Backend Model","Backend Modeli"
"Backend Table","Backend Tablosu"
"Backend Table Title","Backend Tablo Başlığı"
"Backorders","Backorders"
"Based On","Şuna Bağlı"
"Before Order Confirmation","Sipariş Onayından Önce"
"Best Value","En İyi Değer"
"Block after Info Column","Bilgi kolonundan sonraki Blok"
"Bottom Block Options Wrapper","Alt Blok Seçenek Kutusu"
"Bottom/Left","Alt/Sol"
"Bottom/Right","Alt/Sağ"
"Browse By","Seçenekler"
"Bundle Items","Paket Ürünler"
"Buy %1$s"," %1$s adet satın alın"
"Buy %1$s for"," %1$s adet satın alın"
"Buy %1$s for %2$s","%2$'ye %1$ adet satın alın"
"Buy %1$s for %2$s (%3$s incl. tax) each","Her biri %2$'ye (Vergi dahil %3$) %1$ Satın Al"
"Buy %1$s for %2$s each","%1$s adet satın alın,  her biri %2$s ödeyin "
"Cache Lifetime (Seconds)","Cache Lifetime (Seconds)"
"Cache refresh needed.","Önbelleğin tazelenmesi gerekiyor."
"Can be Divided into Multiple Boxes for Shipping","Teslimat için 1'den fazla kutuya bölünebilir"
"Can be used only with catalog input type Dropdown","Sadece katalog girişi tipindeki Dropdown (açılır menü) ile kullanılabilir"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Sadece katalog girişi tipindeki Dropdown (açılır menü), Multiple Seleck (Çoklu Seçim) ve Fiyat ile kullanılabilir"
"Can\'t create image.","Resim oluşturulamıyor."
"Cancel","İptal"
"Cannot create image.","Resim oluşturulamadı."
"Cannot create writeable directory '%s'.","'%s' klasörü yazdırılabilir olarak oluşturulamadı."
"Cart Item Attribute","Sepetteki ürün özelliği"
"Catalog","Katalog"
"Catalog Category (Anchor)","Katalog Kategorisi (Anchor)"
"Catalog Category (Non-Anchor)","Katalog Kategorisi (Non-Anchor)"
"Catalog Category (Without Subcategories)","Katalog Kategorisi (Alt Kategoriler Olmadan)"
"Catalog Category Link","Katalog Kategorisi Bağlantısı"
"Catalog New Products List","Katalog Yeni Ürünler Listesi"
"Catalog Price Scope","Katalog Fiyat Havuzu"
"Catalog Product Compare List","Katalog Karşılaştırılan Ürünler Listesi"
"Catalog Product Email to a Friend","Katalog Ürünü Arkadaşına Tavsiye Et"
"Catalog Product Image Gallery Popup","Katalog Ürün Resim Galerisi Popup Kutusu"
"Catalog Product Link","Katalog Ürün Bağlantısı"
"Catalog Product View (Any)","Katalog Ürün Görünümü (Herhangi)"
"Catalog Product View (Configurable)","Katalog Ürün Görünümü (Configurable)"
"Catalog Product View (Grouped)","Katalog Ürün Görünümü (Grouped)"
"Catalog Product View (Simple)","Katalog Ürün Görünümü (Simple)"
"Catalog Product View (Virtual)","Katalog Ürün Görünümü (Virtual)"
"Catalog Section","Katalog Bölümü"
"Catalog Seo Sitemap (Category List)","Catalog Seo Sitemap (Category List)"
"Catalog Seo Sitemap (Category Tree)","Catalog Seo Sitemap (Category Tree)"
"Catalog Seo Sitemap (Common)","Catalog Seo Sitemap (Common)"
"Catalog Seo Sitemap (Product List)","Catalog Seo Sitemap (Product List)"
"Catalog URL Rewrites","Katalog Url Yeniden Yazımı"
"Catalog product custom option values API","Ürün Özel Seçenek Değerleri APIsi"
"Catalog product custom options API","Ürün Özel Seçenekleri APIsi"
"Catalog, Search","Katalog, Arama"
"Categories","Kategoriler"
"Categories Sitemap","Kategorilerin Site Haritası"
"Category","Kategori"
"Category API","Kategori API si"
"Category Data","Kategori Verisi"
"Category Flat Data","Kategori Flat Tablosu "
"Category Link Block Template","Kategori Bağlantısı Blok Şablonu"
"Category Link Inline Template","Kategori Bağlantısı Inline Şablonu"
"Category Products","Kategori Ürünleri"
"Category Top Navigation","Kategori Üst Navigasyon"
"Category URL Suffix","Kategori URL Soneki"
"Category attributes API","Kategori Özellikleri APIsi"
"Category move error","Kategori taşıma hatası"
"Category move error %s","Kategori taşıma hatası  %s"
"Category move operation is not possible: parent category is equal to child category.","Kategori taşıma işlemi yapılamıyor : üst kategori ile alt kategori aynı."
"Category move operation is not possible: the current category was not found.","Kategori taşıma işlemi yapılamıyor : mevcut kategori bulunamadı."
"Category move operation is not possible: the new parent category was not found.","Kategori taşıma işlemi mümkün değil : Yeni üst kategori bulunamadı."
"Category must be an instance of Mage_Catalog_Model_Category.","Category must be an instance of Mage_Catalog_Model_Category."
"Center","Merkez"
"Change","Değiştir"
"Change or Retrieve attribute store view","Özellik görünümünü Gör/Değiştir"
"Change status","Durumu Değiştir"
"Check items to add to the cart or","Sepete eklenmek üzere ürün seçiniz veya "
"Choose an Option...","Birini seçiniz..."
"Clear All","Hepsini Temizle"
"Clear Price","Fiyatı Sil"
"Click for price","Fiyatı için tıklayınız"
"Close Window","Pencereyi Kapat"
"Collapse All","Hepsini Toparla"
"Comma-separated.","Virgülle ayrılmış."
"Comparable","Karşılaştırılabilir"
"Comparable on Front-end","Ön sayfada Karşılaştırılabilir"
"Comparable on the Frontend","Ön Sayfada Karşılaştırılabilir"
"Compare","Karşılaştır"
"Compare Products","Ürünleri Karşılaştır"
"Conditions Combination","Durum Kombinasyonu"
"Configurable Product","Ayarlanabilir Ürün"
"Configurable Product Settings","Ayarlanabilir Ürün Ayarları"
"Configure Product","Ürünü Ayarla"
"Continue","Devam"
"Copy From Configurable","Ayarlanabilir Üründen Kopyala"
"Country/State","Ülke/Şehir"
"Create","Oluştur"
"Create (Upload)","Oluştur (Yükle)"
"Create Empty","Boş Oluştur"
"Create Permanent Redirect for URLs if URL Key Changed","URL değişince eski URL için kalıcı yönlendirme yap"
"Create Permanent Redirect for old URL","Eski adres için yönlendirme kaydı ekle"
"Create Product Settings","Ürün Ayarlarını Oluştur"
"Create Simple Associated Product","Basit Ürün Oluştur"
"Create attribute set based on another set","Başka bir özellik setinden yeni bir özellik seti oluştur"
"Create new attribute","Yeni özellik oluştur"
"Create new category","Yeni kategori Ekle"
"Create new product","Yeni Ürün Ekle"
"Cross-sells","Çapraz Satış"
"Currently Shopping by:","Mevcut Seçimleriniz:"
"Custom Design","Özel Tasarım"
"Custom Options","Özel Seçenekler"
"Custom options","Özel  seçenekler"
"Customer Group","Müşteri Grubu"
"Customers Reviews","Müşteri Yorumları"
"Customers Tagged Product","Müşteriler tarafından etiketlenen ürün"
"Data Type for Saving in Database","Veritabanına kaydederken kullanılacak veri tipi"
"Date & Time Custom Options","Tarih & Saat Seçenekleri"
"Date Fields Order","Tarih alanları sıralaması"
"Date Subscribed","Eklendiği Tarih"
"Datetime","Tarih-Saat"
"Decimal","Ondalık"
"Declare attribute value saving scope","Özellik değeri kaydetme havuzunu belirtiniz"
"Default ""What's This"" Text Message","Default ""Bu Nedir"" Yazılı Mesajı"
"Default Popup Text Message","Varsayılan Açılır Pencere Mesajı"
"Default Price","Varsayılan fiyat"
"Default Price Navigation Step","Ana Fiyat Gezinme Adımı"
"Default Qty","Varsayılan Adet"
"Default Values","Varsayılan Değerler"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").",
"Delete","Sil"
"Delete Attribute","Özelliği Sil"
"Delete Attribute Set","Özellik Setini Sil"
"Delete Category","Kategoriyi Sil"
"Delete Group Price","Grup Fiyatını Sil"
"Delete Option","Seçeneği Sil"
"Delete Row","Satır Sil"
"Delete Search","Aramayı Sil"
"Delete Selected Group","Seçili Grubu Sil"
"Delete Tier","Fiyat Kademesini Sil"
"Delete attribute","Özelliği Sil"
"Delete category","Kategoriyi Sil"
"Delete product","Ürün Sil"
"Depends on design theme","Temaya göre değişir"
"Design","Tasarım"
"Details","Detaylar"
"Disabled","Pasif"
"Disallowed file type.","İzin verilmeyen dosya tipi."
"Display Actual Price","Varolan Fiyatları Göster"
"Display Page Control","Sayfa Kontrollerini Göster"
"Display Price Interval as One Price","Fiyat aralığını tek bir fiyat olarak göster"
"Display Product Count","Ürün Sayısını Göster"
"Display Type","Gösterim Şekli"
"Display in Suggested Terms","Tavsiye edilen deyimler kısmında göster"
"Double click on a group to rename it","Adını değiştirmek istediğiniz gruba çift tıklayınız"
"Double click on above image to view full picture","Tam boyutu görmek için yukarıdaki resme çift tıklayınız"
"Downloadable Information","İndirilebilir Ürün Bilgisi"
"Duplicate","Çoğalt"
"Duplicate amount found.","Aynı toplam rakamından bir tane daha bulundu."
"Duplicate website group price customer group.","Websitesi grup fiyatı için müşteri grubunu çoğalt."
"Duplicate website tier price customer group and quantity.","Müşteri grubu ve adete özel fiyat vermek için çoğalt."
"Duplicate website, country and state tax found.","Çift web sitesi, ülke ve bölge vergisi bulundu."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"Edit","Düzenle"
"Edit Attribute Set '%s'","Özellik setini düzenle '%s'"
"Edit Product Attribute","Ürün Özelliğini Düzenle"
"Edit Product Attribute ""%s""","Ürün özelliğini düzelt ""%s"""
"Edit Search","Aramayı Düzenle"
"Edit Search '%s'","Aramayı Düzenle '%s'"
"Edit Set Name","Set Adını Düzenle"
"Email","E-mail"
"Email to a Friend","Arkadaşına Tavsiye Et"
"Empty","Boş"
"Enable MAP","MAP Uygula"
"Enable Qty Increments","Adet Artırımlarını Aç"
"Enable WYSIWYG","WYSIWYG Editörü Aç"
"Enable for reindexing a big number of SKUs.","Çok sayıda SKU için tekrar endekslemeyi etkinleştir."
"Enabled","Aktif"
"Error during retrieval of option value: %s","Seçenek değeri alınırken hata oluştu : %s"
"Exclude","Hariç Tut"
"Expand All","Hepsini Aç"
"Failed","Başarısız"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","%s adlı dosya kopyalanamadı. Varolmayan dosyaları içeren medyayı silip tekrar deneyiniz."
"Failed to move file: %s","Dosya taşınamadı : %s"
"Feature Products","Öne Çıkan Ürünler"
"Field is not complete","Alan doldurulmadı"
"File options format is not valid.","Dosya seçenekleri biçimi geçersiz."
"File upload failed","Dosya yüklemede hata oluştu"
"Filter model name must be declared.","Filtre model adı belirlenmelidir."
"Filter must be an object. Please set correct filter.","Filtre bir nesne olmalıdır. Lütfen geçerli bir filtre ayarlayınız."
"Filterable (no results)","Filterable (no results)"
"Filterable (with results)","Filterable (with results)"
"First Name","Adı"
"Fixed","Sabit"
"For internal use.","İç kullanım içindir."
"For the last time placed.","Son eklendiğinde."
"Frontend","Önyüz"
"Frontend Model","Önyüz Modeli"
"Frontend Properties","Önyüz Özellikleri"
"Gallery","Galeri"
"General Information","Genel Bilgi"
"Get full information about attribute with list of options","Özellik hakkında seçenekleri dahil olmak üzere bilgi al"
"Get full information about custom option in product","Üründeki özel seçenekle ilgili bilgi al"
"Get list of available custom option types","Kullanılabilir özel seçenek tiplarini listele"
"Get list of non-default attributes by product type and attributes set","Varsayılan olmayan özelliklerin ( ürüne göre ) ve özellik setlerini listele"
"Get list of possible attribute types","Kullanılabilir özellik tiplerini listele"
"Get special price","Özel fiyatı al"
"Global","Genel"
"Globally Editable","Genel olarak Düzenlenebilir"
"Go to Home Page","Ana Sayfaya Git"
"Grid","Kutu"
"Group add","Grup Ekle"
"Group remove","Grup Sil"
"Grouped Product","Grup Ürünü"
"Groups","Gruplar"
"Home","Ana Sayfa"
"ID","No"
"ID: %s","No: %s"
"If empty, the Category Name will be used","Eğer boşsa, Kategori Adı kullanılır"
"If empty, the Product Name will be used","Boş bırakırsanız Ürün Adı kullanılır"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Eğer Mağaza Görünümü bazında seçenek belirtmezseniz Varsayılan (Admin) değerleri kullanılacak."
"Image","Resim"
"Image content is not valid base64 data.","Image content is not valid base64 data."
"Image does not exist.","Image does not exist."
"Image file was not found.","Image file was not found."
"Image type and information need to be specified for each store view.","Image type and information need to be specified for each store view."
"In Cart","Sepette"
"In Stock","Stokta var"
"In stock","Stokta var"
"Incl. Tax","Vergi Dahil"
"Index product and categories URL rewrites","Ürün ve katalog için adres yeniden yazımını indeksle"
"Index product attributes for layered navigation building","Katmanlı Gezinme için ürün özelliklerini indeksle"
"Index product prices","Ürün fiyatlarını indeksle"
"Indexed category/products association","Kategori/Ürün eşleşmesi indekslendi"
"Info","Bilgi"
"Info Column Options Wrapper","Bilgi Kolonu Seçenek Çerçevesi"
"Input Type","Giriş Tipi"
"Integer","Integer"
"Interval Division Limit","Aralık Bölünme Limiti"
"Invalid Tier Prices","Geçersiz Seviye Fiyatı"
"Invalid attribute %s","Geçersiz özellik %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.",
"Invalid attribute set specified, skipping the record.",
"Invalid block: %s.","Geçersiz blok: %s."
"Invalid category IDs.","Geçersiz kategori numarası"
"Invalid category.","Geçersiz kategori"
"Invalid image file type.","Geçersiz resim dosyası tipi"
"Invalid image type.","Geçersiz resim tipi"
"Invalid option ID specified for %s (%s), skipping the record.","Invalid option ID specified for %s (%s), skipping the record."
"Invalid product type specified, skipping the record.","Invalid product type specified, skipping the record."
"Invalid store specified","Hatalı mağaza seçimi"
"Invalid store specified, skipping the record.","Invalid store specified, skipping the record."
"Invalid tier prices. The product is not associated to the requested website.","Invalid tier prices. The product is not associated to the requested website."
"Inventory","Envanter"
"Is Default","Varsayılan"
"Is Required","Zorunlu"
"Items %s to %s of %s total","Ürünler %s - %s / Toplam %s "
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store."
"Keep your eyes open for our special Back to School items and save A LOT!","Gözünüzü açın kampanyaları yakalayın!"
"Label","Etiket"
"Last Name","Soyad"
"Last Notification","Son Bildirim"
"Layered Navigation","Katmanlı Gezinme"
"Learn More","Daha Fazla Bilgi"
"Line %d, Email: %s","Satır %d, Email: %s"
"Line %d, SKU: %s","Satır %d, Ürün Kodu: %s"
"Link (Related, Up sell, Cross sell)","Bağlantı  (İlişkili Ürün, Up sell, Çapraz Satış)"
"Link product does not exist.","Bağlı ürün bulunamıyor."
"Link to a Specified Category","Belirlenen kategoriyle ilişkilendir"
"Link to a Specified Product","Belirlenen ürünle ilişkilendir"
"List","Liste"
"List Mode","Liste Modu"
"List of Products that are set as New","Yeni olarak işaretlenecek ürün listesi"
"List of types","Tipleri listele"
"Manage Attribute Sets","Özellik Setlerini Yönet"
"Manage Attributes","Özellikleri Yönet"
"Manage Catalog Categories","Katalog Kategorilerini Yönet"
"Manage Categories","Kategorileri Yönet"
"Manage Label / Options","İsim / Seçenek Yönetimi"
"Manage Options (values of your attribute)","Seçenek Yönetimi (Özellik Değerleri)"
"Manage Product Attributes","Ürün Özelliklerini Yönet"
"Manage Product Sets","Ürün Setlerini Yönet"
"Manage Products","Ürünleri Yönet"
"Manage Stock","Stok Yönetimi"
"Manage Titles (Size, Color, etc.)","Başlıkları Yönet (Renk, Ebat, vs)"
"Max Characters","En fazla karakter"
"Maximal Depth","En yüksek derinlik"
"Maximum Image Size","En Yüksek Resim Boyutu"
"Maximum Number of Price Intervals","İzin verilen en fazla Fiyat aralıkları adedi"
"Maximum Qty Allowed in Shopping Cart","Bir sipariş için izin verilen en çok adet"
"Maximum allowed image size for '%s' is %sx%s px.","'%s', izin verilen resim dosyası boyutlarından büyük. %sx%s px."
"Maximum image height","En Yüksek Resim Boyu"
"Maximum image width","En Yüksek Resim Eni"
"Maximum number of characters:","İzin verilen en fazla karakter sayısı :"
"Maximum number of price intervals is 100","İzin verilen en fazla Fiyat aralıkları adedi 100 dür"
"Media Image","Resim Medyası"
"Minimum Advertised Price","Tavsiye Edilen Tüketici Satış Fiyatı"
"Minimum Lines per Page","Sayfa Başı En Az Satır Sayısı"
"Minimum Qty Allowed in Shopping Cart","Alışveriş Sepeti  İçin İzin Verilen En Az Adet"
"Minimum Qty for Item\'s Status to be Out of Stock","Stokta Yok durumu için geçerli minimum miktar"
"Missing SKU, skipping the record.","SKU (Ürün) bulunamadı, kayıt atlanıyor."
"More Views","Diğer Görünümler"
"Move","Taşı"
"Move category in tree","Kategoriyi ağaç içinde taşı"
"Multi update product","Çoklu Güncelleme"
"Must be in the allowed values list.","İzin verilen değerler listesinde olmalıdır."
"N/A","Yok"
"Name","Adı"
"Name in %s","%s'deki Adı"
"New Product","Yeni Ürün"
"New Product Attribute","Yeni Ürün Özelliği"
"New Products","Yeni Ürünler"
"New Products Grid Template","Yeni Ürünler Kutu Görünümü"
"New Products List Template","Yeni Ürünler Liste Görünümü"
"New Root Category","Yeni Kök Kategori"
"New Search","Yeni Arama"
"New Set Name","Yeni Set Adı"
"New Subcategory","Yeni Alt Kategori"
"New products","Yeni Ürünler"
"Next","Sonraki"
"No","Hayır"
"No image","Resim yok"
"No layout updates","Yapısal güncelleme yok"
"No options of this product are available.","Bu ürün için seçenekler yok."
"No product collections found.","Hiç ürün koleksiyonu bulunamadı."
